2018-08-13 15:07:34.990 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.summer.school.Tests], using SpringBootContextLoader
2018-08-13 15:07:35.006 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.summer.school.Tests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-08-13 15:07:35.008 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.summer.school.Tests]: com.summer.school.Tests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-08-13 15:09:21.977 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.summer.school.Tests], using SpringBootContextLoader
2018-08-13 15:09:21.991 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.summer.school.Tests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-08-13 15:09:21.993 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.summer.school.Tests]: com.summer.school.Tests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-08-13 15:09:42.293 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.summer.school.Tests], using SpringBootContextLoader
2018-08-13 15:09:42.305 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.summer.school.Tests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-08-13 15:09:42.306 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.summer.school.Tests]: com.summer.school.Tests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-08-13 15:11:13.008 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.summer.school.Tests], using SpringBootContextLoader
2018-08-13 15:11:13.065 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.summer.school.Tests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-08-13 15:11:13.066 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.summer.school.Tests]: com.summer.school.Tests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-08-13 15:12:59.125 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.summer.school.Tests], using SpringBootContextLoader
2018-08-13 15:12:59.142 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.summer.school.Tests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-08-13 15:12:59.146 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.summer.school.Tests]: Tests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-08-13 15:12:59.467 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.summer.school.SummerSchoolProviderApplication for test class com.summer.school.Tests
2018-08-13 15:12:59.767 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
